ID	Value
HED10001	[[जे.\N_NNP कृष्णमूर्ति\N_NNP को\PSP]]_NP [[भारत\N_NNP के\PSP]]_NP [[महान\JJ आध्यात्मिक\JJ चिंतक\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[देखा\V_VM जाता\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10002	[[एक\QT_QTC आध्यात्मिक\JJ नेता\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[इनका\PR_PRP प्रभाव\N_NN]]_NP [[देश\N_NN बुद्धिजीवियों\N_NN पर\PSP भी\RP_RPD]]_NP [[काफी\QT_QTF रहा\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10003	[[इनका\PR_PRP जन्म\N_NN]]_NP [[11\QT_QTC मई\N_NNP]]_NP [[1895\QT_QTC को\PSP]]_NP [[आन्ध्र\N_NNP प्रदेश\N_NNP के\PSP]]_NP [[एक\QT_QTC छोटे\JJ से\PSP]]_NP [[कस्बे\N_NN मदनापल्ली\N_NNP में\PSP]]_NP [[एक\QT_QTC धर्मपरायण\JJ परिवार\N_NN में\PSP]]_NP [[हुआ\V_VM था\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10004	[[उनका\PR_PRP]]_NP [[पूरा\JJ नाम\N_NN जिड्डू\N_NNP या\CC_CCD जिद्दू\N_NNP कॄष्णमूर्ति\N_NNP]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10005	[[कृष्णमूर्ति\N_NNP आध्यात्मिक\JJ साहित्यकार\N_NN]]_NP [[हैं\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10006	[[श्रीमती\N_NNP बेसेंट\N_NNP और\CC_CCD थिऑस्फिकल\N_NNP सोसायटी\N_NNP के\PSP]]_NP [[सदस्यों\N_NN को\PSP]]_NP [[जे\N_NNP कॄष्णमूर्ति\N_NNP में\PSP]]_NP [[वह\DM_DMD]]_NP [[विशिष्ट\JJ लक्षण\N_NN]]_NP [[दिखे\V_VM]]_VGF [[जो\DM_DMR]]_NP [[एक\QT_QTC विश्‍वगुरु\N_NN में\PSP]]_NP [[होते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10007	[[तो\RP_RPD]]_CCP [[श्रीमती\N_NNP बेसेंट\N_NNP द्वारा\PSP]]_NP [[किशोरवय\N_NNP में\PSP ही\RP_RPD]]_NP [[जे.\N_NNP कृष्णमूर्ति\N_NNP को\PSP]]_NP [[गोद\N_NN]]_NP [[लेकर\V_VM]]_VGF [[उनकी\PR_PRP परवरिश\N_NN]]_NP [[पूर्णतया\JJ धर्म\N_NN और\CC_CCD अध्यात्म\N_NN से\PSP]]_NP [[ओतप्रोत\JJ परिवेश\N_NN में\PSP]]_NP [[की\V_VM गई\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10008	[[जे.\N_NNP कृष्णमूर्ति\N_NNP की\PSP]]_NP [[शिक्षा\N_NN दीक्षा\N_NN]]_NP [[इंग्लैण्ड\N_NNP में\PSP]]_NP [[हुई\V_VM]]_VGF [[लेकिन\CC_CCD]]_CCP [[उनके\PR_PRP जीवन\N_NN का\PSP]]_NP [[कार्यक्षेत्र\N_NN]]_NP [[भारत\N_NNP]]_NP [[रहा\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10009	[[जे.\N_NNP कृष्णमूर्ति\N_NNP ने\PSP]]_NP [[खुद\PR_PRF को\PSP]]_NP [[कभी\N_NST]]_NP [[धर्म\JJ गुरु\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[प्रतिष्ठित\JJ]]_JJP [[नहीं\RP_NEG किया\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10010	[[वे\PR_PRP]]_NP [[मूलत:\RB]]_NP [[एक\QT_QTC आध्यामिक\JJ चिंतक\N_NN]]_NP [[थे\V_VM]]_VGF [[और\CC_CCD]]_CCP [[उनके\PR_PRP अनुयायी\N_NN]]_NP [[उन्हें\PR_PRP]]_NP [[पथ\N_NN प्रदर्शक\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[देखते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10011	[[उन्होंने\PR_PRP जो\DM_DMR भी\RP_RPD]]_NP [[कहा\V_VM]]_VGF [[वो\DM_DMD वह\DM_DMD]]_NP [[उनकी\PR_PRP अन्तर्दृष्‍टि\N_NN का\PSP]]_NP [[संप्रेषण\N_NN]]_NP [[था\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10012	[[दैनिक\JJ जीवन\N_NN में\PSP]]_NP [[ध्यान\N_NN के\PSP]]_NP [[यथार्थ\N_NN स्वरूप\PSP ,\RD_PUNC]]_NP [[धार्मिकता\N_NN की\PSP]]_NP [[महत्ता\N_NN के\PSP]]_NP [[बारे\PSP में\PSP]]_NP [[बताया\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10013	[[उन्होंने\PR_PRP विश्व\N_NN के\PSP]]_NP [[प्रत्येक\DM_DMI मानव\N_NN के\PSP]]_NP [[जीवन\N_NN में\PSP]]_NP [[उस\DM_DMD आमूलचूल\JJ परिवर्तन\N_NN की\PSP]]_NP [[बात\N_NN]]_NP [[कही\V_VM]]_VGF [[जिससे\DM_DMR]]_CCP [[मानवता\N_NN की\PSP]]_NP [[वास्तविक\JJ प्रगति\N_NN की\PSP ओर\N_NST]]_NP [[उन्मुख\JJ]]_JJP [[हुआ\V_VM जा\V_VAUX सके\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10014	[[जे.\N_NNP कृष्णमूर्ति\N_NNP ने\PSP]]_NP [[हमेशा\RB]]_NP [[इस\DM_DMD बात\N_NN पर\PSP]]_NP [[जोर\N_NN]]_NP [[दिया\V_VM]]_VGF [[कि\CC_CCS]]_CCP [[मनुष्य\N_NN की\PSP]]_NP [[वैयक्‍तिक\JJ और\CC_CCD सामाजिक\JJ चेतना\N_NN]]_NP [[दो\QT_QTC भिन्न\JJ चीजें\N_NN नहीं\RP_NEG ,\RD_PUNC]]_NP [[`\RD_PUNC]]_BLK [[पिण्ड\N_NN में\PSP ही\RP_RPD]]_NP [[ब्रह्माण्ड\N_NN]]_NP [[है\V_VM]]_VGF [[”\RD_PUNC ,\RD_PUNC]]_BLK [[इसको\DM_DMD]]_NP [[समझाया\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10015	[[उन्होंने\PR_PRP]]_NP [[बताया\V_VM]]_VGF [[कि\CC_CCS]]_CCP [[वास्तव\RB में\RB]]_RBP [[हमारे\PR_PRP भीतर\N_NST ही\RP_RPD]]_NP [[पूरी\JJ मानव\N_NN जाति\N_NN ,\RD_PUNC पूरा\JJ विश्‍व\N_NN]]_NP [[प्रतिबिंबित\JJ]]_JJP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10016	[[प्रकृति\N_NN और\CC_CCD परिवेश\N_NN से\PSP]]_NP [[मनुष्य\N_NN के\PSP]]_NP [[गहरे\JJ रिश्ते\N_NN और\CC_CCD प्रकृति\N_NN और\CC_CCD परिवेश\N_NN से\PSP]]_NP [[अखण्डता\N_NN की\PSP]]_NP [[बात\N_NN]]_NP [[की\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10017	[[हर\DM_DMI तरह\N_NN की\PSP]]_NP [[आध्यात्मिकता\N_NN]]_NP [[तथा\CC_CCD]]_CCP [[मनोवैज्ञानिक\JJ दावेदारी\N_NN को\PSP]]_NP [[नकारना\V_VM]]_VGF [[और\CC_CCD]]_CCP [[उन्हें\PR_PRP भी\RP_RPD]]_NP [[कोई\DM_DMI गुरु\N_NN या\CC_CCD आथॉरिटी\N_NN]]_NP [[ना\RP_NEG बना\V_VM डाले\V_VAUX]]_VGF [[इससे\DM_DMD]]_NP [[आगाह\N_NN]]_NP [[करना\V_VM]]_VGF [[उनके\PR_PRP चेतावनी\N_NN]]_NP [[वाक्य\N_NN]]_NP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10018	[[जे.\N_NNP कृष्णमूर्ति\N_NNP ने\PSP]]_NP [[स्वयं\PR_PRF तथा\CC_CCD उनकी\PR_PRP शिक्षाओं\N_NN को\PSP]]_NP [[महिमा\N_NN]]_NP [[मंडित\JJ होने\N_NN से\PSP]]_NP [[बचाने\N_NN और\CC_CCD उनकी\PR_PRP शिक्षाओं\N_NN की\PSP]]_NP [[व्याख्या\N_NN]]_NP [[की\V_VM जाकर\V_VAUX]]_VGF [[विकृत\JJ]]_JJP [[होकर\V_VM]]_VGF [[बचाने\N_NN के\PSP लिये\PSP]]_NP [[अमरीका\N_NNP ,\RD_PUNC भारत\N_NNP ,\RD_PUNC इंग्लैण्ड\N_NNP ,\RD_PUNC कनाडा\N_NNP और\CC_CCD स्पेन\N_NNP में\PSP]]_NP [[फाउण्डेशन\N_NN]]_NP [[स्थापित\JJ]]_JJP [[किये\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10019	[[भारत\N_NNP ,\RD_PUNC इंग्लैण्ड\N_NNP और\CC_CCD अमरीका\N_NNP में\PSP]]_NP [[विद्यालय\N_NN भी\RP_RPD]]_NP [[स्थापित\JJ]]_JJP [[किये\V_VM]]_VGF [[जिनके\DM_DMR बारे\PSP में\PSP]]_NP [[उनका\PR_PRP दृष्टिबोध\N_NN]]_NP [[था\V_VM]]_VGF [[कि\CC_CCS]]_CCP [[शिक्षा\N_NN में\PSP]]_NP [[केवल\QT_QTF शास्त्रीय\JJ बौद्धिक\JJ कौशल\N_NN ही\RP_RPD]]_NP [[नहीं\RP_NEG]]_NEGP [[वरन\CC_CCS]]_CCP [[मन\N_NN मस्तिष्क\N_NN को\PSP]]_NP [[समझने\N_NN पर\PSP भी\RP_RPD]]_NP [[जोर\N_NN]]_NP [[दिया\V_VM जाना\V_VAUX चाहिये\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10020	[[जीवन\N_NN यापन\N_NN और\CC_CCD तकनीकी\JJ कुशलता\N_NN के\PSP अतिरिक्‍त\PSP]]_NP [[जीने\N_NN की\PSP]]_NP [[कला\N_NN कुशलता\N_NN भी\RP_RPD]]_NP [[सिखाई\V_VM जानी\V_VAUX चाहिये\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10021	[[इससे\DM_DMD]]_NP [[उनका\PR_PRP आशय\N_NN]]_NP [[अध्यात्म\N_NN के\PSP]]_NP [[माध्यम\N_NN से\PSP]]_NP [[शिक्षा\N_NN को\PSP]]_NP [[आकस्मिक\JJ चर्चा\N_NN ,\RD_PUNC संवाद\N_NN एवं\CC_CCD विमर्श\N_NN के\PSP करीब\N_NST]]_NP [[ले\V_VM जाने\V_VAUX से\PSP]]_VGINF [[था\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10022	[[17\QT_QTC फरवरी\N_NN]]_NP [[1986\QT_QTC जे.\N_NNP कृष्णमूर्ति\N_NNP जी\RP_RPD का\PSP]]_NP [[देहावसान\N_NN]]_NP [[हुआ\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10023	[[उनका\PR_PRP मूल\JJ साहित्य\N_NN]]_NP [[अंग्रेजी\N_NNP भाषा\N_NN में\PSP]]_NP [[है\V_VM ,\RD_PUNC]]_VGF [[जिसका\DM_DMR अनुवाद\N_NN]]_NP [[कई\QT_QTF मुख्य\JJ प्रचलित\JJ भाषाओं\N_NN में\PSP]]_NP [[अनुवाद\N_NN]]_NP [[किया\V_VM गया\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10024	[[वार्ताएँ\N_NN ,\RD_PUNC प्रश्‍नोत्तर\N_NN ,\RD_PUNC परिचर्चाएँ\N_NN ,\RD_PUNC साक्षात्कार\N_NN ,\RD_PUNC परस्पर\PR_PRC संवाद\N_NN ,\RD_PUNC]]_NP [[प्रवचनों\N_NN के\PSP]]_NP [[ऑडियो\N_NN और\CC_CCD वीडियो\N_NN टेप\N_NN भी\RP_RPD]]_NP [[उपलब्ध\JJ]]_JJP [[हैं\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10025	[[कुछ\QT_QTF विचारकों\N_NN के\PSP अनुसार\PSP]]_NP [[जे.\N_NNP कृष्णमूर्ति\N_NNP के\PSP]]_NP [[चिंतन\N_NN से\PSP]]_NP [[धर्म\N_NN और\CC_CCD दर्शन\N_NN का\PSP]]_NP [[अंत\N_NN]]_NP [[होता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10026	[[दुनिया\N_NN को\PSP]]_NP [[बेहतर\JJ]]_JJP [[बनाने\V_VM के\PSP लिये\PSP]]_VGINF [[ज़रूरी\JJ]]_NP [[होता\V_VM है\V_VAUX]]_VGF [[यथार्थवादी\JJ और\CC_CCD स्पष्‍ट\JJ मार्ग\N_NN पर\PSP]]_NP [[चलना\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10027	[[आपके\PR_PRP भीतर\N_NST]]_NP [[कुछ\QT_QTF भी\RP_RPD]]_NP [[नहीं\RP_NEG होना\V_VM चाहिये\V_VAUX]]_VGF [[तब\N_NST]]_NP [[आप\PR_PRP]]_NP [[एक\QT_QTC साफ\JJ और\CC_CCD सुस्पष्‍ट\JJ आकाश\RB]]_NP [[होने\V_VM के\PSP लिये\PSP]]_VGINF [[तैयार\JJ]]_JJP [[हों\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10028	[[जीवन\N_NN धरती\N_NN का\PSP]]_NP [[हिस्सा\N_NN]]_NP [[नहीं\RP_NEG ,\RD_PUNC]]_VGF [[आप\PR_PRP]]_NP [[स्वयं\PR_PRF]]_NP [[आकाश\RB हैं\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10029	[[जे.\N_NNP कृष्णमूर्ति\N_NNP का\PSP]]_NP [[कहना\V_VM है\V_VAUX]]_VGF [[कि\CC_CCS यदि\CC_CCS]]_CCP [[आप\PR_PRP]]_NP [[कुछ\QT_QTF भी\RP_RPD]]_NP [[हैं\V_VM]]_VGF [[तो\CC_CCS फिर\RB]]_CCP [[आप\PR_PRP]]_NP [[कुछ\QT_QTF नहीं\RP_NEG]]_VGF [[।\RD_PUNC]]_BLK 
HED10030	[[जे.\N_NNP कृष्णमूर्ति\N_NNP के\PSP]]_NP [[विचारों\N_NN में\PSP]]_NP [[सरलता\N_NN ,\RD_PUNC]]_NP [[बौद्धिकता\N_NN]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10031	[[उनकी\PR_PRP शिक्षा\N_NN जो\DM_DMR]]_NP [[उनके\PR_PRP गहरे\JJ ध्यान\N_NN ,\RD_PUNC]]_NP [[सही\JJ ज्ञान\N_NN और\CC_CCD श्रेष्‍ठ\JJ व्यवहार\N_NN की\PSP]]_NP [[उपज\N_NN]]_NP [[है\V_VM ने\PSP]]_VGINF [[दुनिया\N_NN के\PSP]]_NP [[तमाम\DM_DMI दार्शनिकों\N_NN ,\RD_PUNC धार्मिकों\N_NN और\CC_CCD मनोवैज्ञानिकों\N_NN को\PSP]]_NP [[प्रभावित\JJ]]_NP [[किया\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10032	[[उनका\PR_PRP]]_NP [[कहना\V_VM था\V_VAUX]]_VGF [[कि\CC_CCS]]_CCP [[आपने\PR_PRP जो\DM_DMR]]_NP [[कुछ\QT_QTF भी\RP_RPD परम्परा\N_NN ,\RD_PUNC देश\N_NN और\CC_CCD काल\N_NN से\PSP]]_NP [[जाना\V_VM है\V_VAUX]]_VGF [[उससे\PR_PRP]]_NP [[मुक्‍त\JJ]]_NP [[होकर\V_VM ही\RP_RPD]]_VGNF [[आप\PR_PRP]]_NP [[सच्चे\JJ अर्थों\N_NN में\PSP]]_NP [[मानव\N_NN]]_NP [[बन\V_VM पाएंगे\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10033	[[विश्व\N_NN चिंतक\N_NN के\PSP]]_NP [[रूप\PSP में\PSP]]_NP [[कृष्णमूर्ति\N_NNP के\PSP]]_NP [[विचार\N_NN]]_NP [[क्रांतिकारी\JJ]]_JJP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10034	[[कृष्णमूर्ति\N_NNP के\PSP]]_NP [[विचारों\N_NN को\PSP]]_NP [[उसी\PR_PRP तरह\N_NN]]_NP [[माना\V_VM जाता\V_VAUX है\V_VAUX]]_VGF [[जिस\DM_DMR तरह\N_NN से\PSP]]_NP [[एटम\N_NN बम\N_NN के\PSP]]_NP [[अविष्कार\N_NN को\PSP]]_NP [[।\RD_PUNC]]_BLK 
HED10035	[[कृष्णमूर्ति\N_NNP]]_NP [[अपने\PR_PRF माता\N_NN -\RD_PUNC पिता\N_NN की\PSP]]_NP [[आठवीं\QT_QTO संतान\N_NN]]_NP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10036	[[इसलिये\CC_CCS]]_CCP [[उनका\PR_PRP नाम\N_NN]]_NP [[कृष्णमूर्ति\N_NNP]]_NP [[रखा\V_VM गया\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10037	[[कृष्ण\N_NNP भी\RP_RPD]]_NP [[वासुदेव\N_NNP की\PSP]]_NP [[आठवी\QT_QTO संतान\N_NN]]_NP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10038	[[कृष्णमूर्ति\N_NNP का\PSP]]_NP [[जन्म\N_NN]]_NP [[1895\QT_QTC में\PSP]]_NP [[आंध्रप्रदेश\N_NNP के\PSP]]_NP [[मदनापाली\N_NNP में\PSP]]_NP [[मध्यवर्ग\JJ ब्राह्मण\N_NN परिवार\N_NN में\PSP]]_NP [[हुआ\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10039	[[उनके\PR_PRP माता\N_NN -\RD_PUNC पिता\N_NN थियओसौफिस्ट\N_NN]]_NP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10040	[[उन्होंने\PR_PRP कृष्णमूर्ति\N_NNP]]_NP [[और\CC_CCD]]_CCP [[उनके\PR_PRP छोटे\JJ भाई\N_NN]]_NP [[नितिया\N_NNP को\PSP]]_NP [[थियोसौफिकल\N_NNP सोसाइटी\N_NNP की\PSP]]_NP [[अध्यक्ष\N_NN]]_NP [[डॉ.\N_NNP एनी\N_NNP बेसेन्ट\N_NNP को\PSP]]_NP [[सौंप\V_VM दिया\V_VAUX था\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HED10041	[[बाल्यावस्था\N_NN में\PSP ही\RP_RPD]]_NP [[कृष्णमूर्ति\N_NNP की\PSP]]_NP [[पहचान\N_NN]]_NP [[डब्ल्यू\N_NNP लीडबीटर\N_NNP ने\PSP]]_NP [[किया\V_VM]]_VGF [[जो\DM_DMR]]_NP [[एनीबेसेन्ट\N_NNP के\PSP]]_NP [[सहयोगी\N_NN]]_NP [[और\CC_CCD]]_CCP [[एक\QT_QTC दूरदृष्‍टि\N_NN]]_NP [[संपन्न\JJ व्यक्ति\N_NN]]_NP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HED10042	[[तब\N_NST]]_NP [[कृष्णमूर्ति\N_NNP]]_NP [[13\QT_QTC वर्ष\N_NN के\PSP]]_NP [[थे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
